Study.Accession	Reported.trait	Group	UKB.Field.ID	QC.Flag.Field.ID	type	analysis	adjustment	sex	population
GCST90500211	Cholesteryl Esters in VLDL	Cholesteryl esters	23416	23716	array	Discovery		Female	European
GCST90500205	Cholesteryl Esters in VLDL	Cholesteryl esters	23416	23716	array	Discovery		Male	European
GCST90500209	Cholesteryl Esters in VLDL	Cholesteryl esters	23416	23716	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90500203	Cholesteryl Esters in VLDL	Cholesteryl esters	23416	23716	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90500206	Cholesteryl Esters in VLDL	Cholesteryl esters	23416	23716	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90500208	Cholesteryl Esters in VLDL	Cholesteryl esters	23416	23716	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90501287	Cholesteryl Esters in VLDL	Cholesteryl esters	23416	23716	array	Meta-analysis		Combined	Combined
GCST90500214	Cholesteryl Esters in VLDL	Cholesteryl esters	23416	23716	sequencing	exWAS	PGS adjusted	Combined	European
GCST90500212	Cholesteryl Esters in VLDL	Cholesteryl esters	23416	23716	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90500204	Cholesteryl Esters in VLDL	Cholesteryl esters	23416	23716	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90500210	Cholesteryl Esters in VLDL	Cholesteryl esters	23416	23716	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90500343	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	array	Discovery		Combined	European
GCST90500345	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	array	Discovery		Combined	British-Central/South Asian
GCST90500356	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	array	Discovery		Combined	British-African
GCST90500344	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	array	Discovery		Female	European
GCST90500354	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	array	Discovery		Male	European
GCST90500346	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90500348	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90500349	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90500342	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90500341	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90500347	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90501296	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	array	Meta-analysis		Combined	Combined
GCST90500351	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90500355	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90500352	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	sequencing	exWAS	PGS adjusted	Combined	European
GCST90500350	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90500357	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90500353	Cholesteryl Esters in Very Large HDL	Lipoprotein subclasses	23555	23855	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90500548	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	array	Discovery		Combined	European
GCST90500549	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	array	Discovery		Combined	British-Central/South Asian
GCST90500550	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	array	Discovery		Combined	British-African
GCST90500552	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	array	Discovery		Female	European
GCST90500556	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	array	Discovery		Male	European
GCST90500544	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90500554	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90500543	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90500547	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90500551	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90501308	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	array	Meta-analysis		Combined	Combined
GCST90500546	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	sequencing	exWAS	PGS adjusted	Combined	European
GCST90500555	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90500545	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90500553	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90500557	Cholesteryl Esters in Very Large VLDL	Lipoprotein subclasses	23492	23792	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90500735	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	array	Discovery		Combined	British-Central/South Asian
GCST90500742	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	array	Discovery		Combined	British-African
GCST90500743	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	array	Discovery		Combined	European
GCST90500740	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	array	Discovery		Female	European
GCST90500749	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	array	Discovery		Male	European
GCST90500738	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90500739	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90500747	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90500734	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90500748	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90500746	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501320	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	array	Meta-analysis		Combined	Combined
GCST90500737	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90500744	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	sequencing	exWAS	PGS adjusted	Combined	European
GCST90500745	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90500741	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90500733	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90500736	Cholesteryl Esters in Very Small VLDL	Lipoprotein subclasses	23520	23820	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90500951	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Relative lipoprotein lipid concentrations	23581	23881	array	Discovery		Combined	British-Central/South Asian
GCST90500952	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Relative lipoprotein lipid concentrations	23581	23881	array	Discovery		Combined	British-African
GCST90500962	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Relative lipoprotein lipid concentrations	23581	23881	array	Discovery		Combined	European
GCST90500956	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Relative lipoprotein lipid concentrations	23581	23881	array	Discovery		Female	European
GCST90500958	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Relative lipoprotein lipid concentrations	23581	23881	array	Discovery		Male	European
GCST90500957	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Relative lipoprotein lipid concentrations	23581	23881	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90500955	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Relative lipoprotein lipid concentrations	23581	23881	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90500959	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Relative lipoprotein lipid concentrations	23581	23881	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90500961	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Relative lipoprotein lipid concentrations	23581	23881	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90501333	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Relative lipoprotein lipid concentrations	23581	23881	array	Meta-analysis		Combined	Combined
GCST90500960	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Relative lipoprotein lipid concentrations	23581	23881	sequencing	exWAS	PGS adjusted	Combined	European
GCST90500954	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Relative lipoprotein lipid concentrations	23581	23881	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90500950	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Relative lipoprotein lipid concentrations	23581	23881	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90500953	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Relative lipoprotein lipid concentrations	23581	23881	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497540	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	array	Discovery		Combined	European
GCST90497553	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	array	Discovery		Combined	British-Central/South Asian
GCST90497554	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	array	Discovery		Combined	British-African
GCST90497549	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	array	Discovery		Female	European
GCST90497539	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	array	Discovery		Male	European
GCST90497541	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90497542	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497548	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90497550	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90497547	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90497546	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90501124	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	array	Meta-analysis		Combined	Combined
GCST90497551	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90497552	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90497555	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497543	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497544	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497545	Cholesteryl Esters to Total Lipids in IDL percentage	Relative lipoprotein lipid concentrations	23611	23911	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497765	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	array	Discovery		Combined	European
GCST90497766	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	array	Discovery		Combined	British-African
GCST90497762	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	array	Discovery		Combined	British-Central/South Asian
GCST90497763	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	array	Discovery		Female	European
GCST90497768	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	array	Discovery		Male	European
GCST90497755	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90497756	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497757	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90497759	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90497767	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90497770	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90501137	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	array	Meta-analysis		Combined	Combined
GCST90497754	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90497758	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90497764	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497760	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497769	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497761	Cholesteryl Esters to Total Lipids in Large HDL percentage	Relative lipoprotein lipid concentrations	23636	23936	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497960	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	array	Discovery		Combined	British-African
GCST90497961	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	array	Discovery		Combined	European
GCST90497973	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	array	Discovery		Combined	British-Central/South Asian
GCST90497967	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	array	Discovery		Female	European
GCST90497969	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	array	Discovery		Male	European
GCST90497959	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90497966	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90497964	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497962	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90497970	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90497972	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501149	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	array	Meta-analysis		Combined	Combined
GCST90497963	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90497968	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497971	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90497958	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497974	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497965	Cholesteryl Esters to Total Lipids in Large LDL percentage	Relative lipoprotein lipid concentrations	23616	23916	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90498160	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	array	Discovery		Combined	British-African
GCST90498163	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	array	Discovery		Combined	European
GCST90498169	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	array	Discovery		Combined	British-Central/South Asian
GCST90498162	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	array	Discovery		Female	European
GCST90498165	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	array	Discovery		Male	European
GCST90498161	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90498168	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90498158	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90498159	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90498167	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90498156	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90501161	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	array	Meta-analysis		Combined	Combined
GCST90498171	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	sequencing	exWAS	PGS adjusted	Combined	European
GCST90498164	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90498157	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90498170	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90498172	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90498166	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Relative lipoprotein lipid concentrations	23591	23891	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90498546	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	array	Discovery		Combined	British-Central/South Asian
GCST90498552	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	array	Discovery		Combined	British-African
GCST90498553	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	array	Discovery		Combined	European
GCST90498556	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	array	Discovery		Female	European
GCST90498550	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	array	Discovery		Male	European
GCST90498555	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90498548	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90498543	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90498558	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90498551	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90498544	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501185	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	array	Meta-analysis		Combined	Combined
GCST90498554	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90498545	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90498547	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	sequencing	exWAS	PGS adjusted	Combined	European
GCST90498542	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90498557	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90498549	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Relative lipoprotein lipid concentrations	23641	23941	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90498745	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Relative lipoprotein lipid concentrations	23621	23921	array	Discovery		Combined	British-Central/South Asian
GCST90498752	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Relative lipoprotein lipid concentrations	23621	23921	array	Discovery		Combined	British-African
GCST90498759	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Relative lipoprotein lipid concentrations	23621	23921	array	Discovery		Combined	European
GCST90498747	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Relative lipoprotein lipid concentrations	23621	23921	array	Discovery		Female	European
GCST90498758	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Relative lipoprotein lipid concentrations	23621	23921	array	Discovery		Male	European
GCST90498744	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Relative lipoprotein lipid concentrations	23621	23921	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90498746	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Relative lipoprotein lipid concentrations	23621	23921	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90498754	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Relative lipoprotein lipid concentrations	23621	23921	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90498749	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Relative lipoprotein lipid concentrations	23621	23921	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90498753	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Relative lipoprotein lipid concentrations	23621	23921	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90498760	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Relative lipoprotein lipid concentrations	23621	23921	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90501197	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Relative lipoprotein lipid concentrations	23621	23921	array	Meta-analysis		Combined	Combined
GCST90498756	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Relative lipoprotein lipid concentrations	23621	23921	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
